model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,bleu1,bleu2,bleu3,bleu4,jaccard,perplexity,cosine_similarity
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9760967695185692,0.9522895312376284,0.9360928035546934,0.9196283613646024,0.6666666666666666,3.1154189462171216,0.0363636363636363
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9850376877327208,0.9701128742822251,0.9600367311912812,0.9498577703136952,0.7567567567567568,2.994490779427674,0.0284629981024667
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836515932942932,0.9673479757258794,0.9563279379250073,0.9451847712101586,0.7333333333333333,3.037731777517483,0.0382716049382716
bartx,0.5294117647058824,0.6428571428571429,0.45,0.3749999999999999,0.4615384615384615,0.3157894736842105,0.5294117647058824,0.6428571428571429,0.45,0.5088191347918338,0.34109151320079,0.2687841017766459,0.2178943118402676,0.1333333333333333,5.432001640742895,0.0349650349650349
bartx,0.08,0.0769230769230769,0.0833333333333333,0.0,0.0,0.0,0.08,0.0769230769230769,0.0833333333333333,0.5733333333333334,0.1756756756756756,0.0273972602739725,0.0138888888888888,0.037037037037037,3.4238622637752645,0.0048076923076923
bartx,0.3783783783783784,0.5,0.3043478260869565,0.1142857142857143,0.1538461538461538,0.0909090909090909,0.3243243243243243,0.4285714285714285,0.2608695652173913,0.3705214560736596,0.2642758670081176,0.1552706522525616,0.113916807936657,0.1176470588235294,6.405409432177272,0.0192307692307692
bartx,0.3529411764705882,0.391304347826087,0.3214285714285714,0.1632653061224489,0.1818181818181818,0.1481481481481481,0.2352941176470588,0.2608695652173913,0.2142857142857142,0.6568618131162866,0.4299078185307984,0.2460350826321528,0.1890305556837669,0.1794871794871795,3.8490489313197815,0.0224403927068723
bartx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131145021822015,0.0062856489749013,0.0016342687334743,5.674544213452576e-05,0.0,665.1416330443618,0.0
bartx,0.1818181818181818,0.2,0.1666666666666666,0.0,0.0,0.0,0.1212121212121212,0.1333333333333333,0.1111111111111111,0.5719202423543422,0.2758267028813509,0.1259824310081243,0.0819196103107015,0.0967741935483871,4.3347618261852086,0.009090909090909
bartx,0.3333333333333333,0.8,0.2105263157894736,0.0869565217391304,0.2222222222222222,0.054054054054054,0.25,0.6,0.1578947368421052,0.0400006548601472,0.0338230554722419,0.0266291294369794,0.0207550567670575,0.125,73.69979369959579,0.0255813953488372
