model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,bleu1,bleu2,bleu3,bleu4,jaccard,perplexity,cosine_similarity
pegasus,0.0322043309272626,1.0,0.0163656884875846,0.0311284046692607,1.0,0.0158102766798418,0.0322043309272626,1.0,0.0163656884875846,1.5459844593216441e-30,1.5459844593216441e-30,1.5459844593216441e-30,1.5459844593216441e-30,0.0395738203957382,1.6687885215625218e+26,0.0086846924909903
pegasus,0.022077922077922,1.0,0.0111621799080761,0.0208062418725617,1.0,0.0105124835742444,0.022077922077922,1.0,0.0111621799080761,1.925081124964384e-36,1.925081124964384e-36,1.925081124964384e-36,1.925081124964384e-36,0.023088023088023,2.4931106107987554e+38,0.0111932996751594
pegasus,0.2647058823529412,1.0,0.1525423728813559,0.2603550295857988,1.0,0.1496598639455782,0.2647058823529412,1.0,0.1525423728813559,0.0023987994756799,0.0023987994756799,0.0023987994756799,0.0023987994756799,0.1897435897435897,1306.3601009895615,0.0086918504504086
pegasus,0.3321799307958477,1.0,0.1991701244813278,0.3275261324041812,1.0,0.1958333333333333,0.3321799307958477,1.0,0.1991701244813278,0.0201157940267408,0.0201157940267408,0.0201157940267408,0.0201157940267408,0.2641509433962264,123.03883041717654,0.0128968253968253
pegasus,0.0286195286195286,1.0,0.0145175064047822,0.026981450252951,1.0,0.0136752136752136,0.0286195286195286,1.0,0.0145175064047822,8.167295964696187e-31,8.167295964696187e-31,8.167295964696187e-31,8.167295964696187e-31,0.0314960629921259,4.992717081768221e+27,0.0239368382818876
pegasus,0.2332361516034985,1.0,0.132013201320132,0.2287390029325513,1.0,0.1291390728476821,0.2332361516034985,1.0,0.132013201320132,0.000480639000346,0.000480639000346,0.0004782477615383,0.0004758326103426,0.155,2683.123398514101,0.0159986217484989
pegasus,0.0928792569659442,1.0,0.0487012987012987,0.087227414330218,1.0,0.0456026058631921,0.0928792569659442,1.0,0.0487012987012987,5.6271969291482847e-08,5.6271969291482847e-08,5.6271969291482847e-08,5.6271969291482847e-08,0.0682926829268292,1521339666.0167165,0.012065637065637
pegasus,0.4201680672268907,1.0,0.2659574468085106,0.4102564102564102,1.0,0.2580645161290322,0.4201680672268907,1.0,0.2659574468085106,0.0777590662200913,0.0777590662200913,0.0777590662200913,0.0777590662200913,0.3378378378378378,38.09183672539902,0.018021978021978
pegasus,0.0261486738886813,1.0,0.0132475397426192,0.0254205607476635,1.0,0.012873911397198,0.0261486738886813,1.0,0.0132475397426192,2.8228013572795723e-30,2.8228013572795723e-30,2.8228013572795723e-30,2.8228013572795723e-30,0.0262080262080262,1.7760998793002386e+32,0.0105932830137476
pegasus,0.0044705224923162,1.0,0.0022402688322598,0.0039138943248532,1.0,0.0019607843137254,0.0044705224923162,1.0,0.0022402688322598,2.4603099201189163e-258,2.4603099201189163e-258,2.4603099201189163e-258,2.4603099201189163e-258,0.0053639846743295,8.623968643966744e+211,0.0026764804282368
