model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,bleu1,bleu2,bleu3,bleu4,jaccard,perplexity,cosine_similarity
pegasus,0.0724137931034482,1.0,0.0375670840787119,0.0692041522491349,1.0,0.03584229390681,0.0724137931034482,1.0,0.0375670840787119,1.3547101061070256e-12,1.3547101061070256e-12,1.3547101061070256e-12,1.3547101061070256e-12,0.0572289156626506,236798685886.7653,0.0179220779220779
pegasus,0.0710059171597633,1.0,0.0368098159509202,0.0682492581602373,1.0,0.0353302611367127,0.0710059171597633,1.0,0.0368098159509202,1.201710149417736e-10,1.201710149417736e-10,1.201710149417736e-10,1.201710149417736e-10,0.065340909090909,231227212204.8849,0.0078269958658489
pegasus,0.0598425196850393,1.0,0.0308441558441558,0.0568720379146919,1.0,0.0292682926829268,0.0598425196850393,1.0,0.0308441558441558,2.2312522687066062e-14,2.2312522687066062e-14,2.2312522687066062e-14,2.2312522687066062e-14,0.0549132947976878,108285185979260.66,0.0150865763757929
pegasus,0.625,1.0,0.4545454545454545,0.6170212765957447,1.0,0.4461538461538462,0.625,1.0,0.4545454545454545,0.3345607810115106,0.3345607810115106,0.3345607810115106,0.3345607810115106,0.5178571428571429,8.72913836372013,0.021025641025641
pegasus,0.1183673469387755,1.0,0.0629067245119305,0.1147540983606557,1.0,0.0608695652173913,0.1183673469387755,1.0,0.0629067245119305,2.321055481926307e-07,2.321055481926307e-07,2.292222494573185e-07,2.2775356916401887e-07,0.0941176470588235,8273526.761981223,0.0156490665505954
pegasus,0.2359550561797752,1.0,0.1337579617834395,0.2272727272727272,1.0,0.1282051282051282,0.2359550561797752,1.0,0.1337579617834395,0.0009290867800249,0.0009290867800249,0.0009290867800249,0.0009290867800249,0.1759259259259259,2208.347991887209,0.0116184436753703
pegasus,0.2903225806451613,1.0,0.1698113207547169,0.2786885245901639,1.0,0.1619047619047619,0.2903225806451613,1.0,0.1698113207547169,0.0036978637164829,0.0036978637164829,0.0036978637164829,0.0036978637164829,0.2027027027027027,323.04052436323394,0.0229700854700854
pegasus,0.1576763485477178,0.95,0.085972850678733,0.1422594142259414,0.8947368421052632,0.0772727272727272,0.1576763485477178,0.95,0.085972850678733,7.198886775459457e-06,7.126897907704862e-06,7.053454719389568e-06,6.978512690496412e-06,0.1259259259259259,70115.18977921992,0.0153922542204568
pegasus,0.4347826086956522,1.0,0.2777777777777778,0.4264705882352941,1.0,0.2710280373831775,0.4347826086956522,1.0,0.2777777777777778,0.0607321509605141,0.0607321509605141,0.0607321509605141,0.0607321509605141,0.2873563218390804,40.03104076988436,0.0192318881817348
pegasus,0.0362694300518134,1.0,0.0184696569920844,0.0346020761245674,1.0,0.0176056338028169,0.0362694300518134,1.0,0.0184696569920844,5.212169613573327e-26,5.212169613573327e-26,5.212169613573327e-26,5.212169613573327e-26,0.0434782608695652,1.092164938780306e+23,0.0103726790916969
pegasus,0.3636363636363636,1.0,0.2222222222222222,0.3488372093023256,1.0,0.2112676056338028,0.3636363636363636,1.0,0.2222222222222222,0.0403159069579386,0.0403159069579386,0.0403159069579386,0.0403159069579386,0.2857142857142857,90.01713130052181,0.0234375
pegasus,0.1811460258780036,1.0,0.0995934959349593,0.1781076066790352,1.0,0.0977596741344195,0.1811460258780036,1.0,0.0995934959349593,5.345590837091858e-05,5.345590837091858e-05,5.281186128211233e-05,5.259371630041989e-05,0.1514084507042253,26675.194342278694,0.010127481899347
pegasus,0.1005917159763313,1.0,0.0529595015576324,0.0952380952380952,1.0,0.05,0.1005917159763313,1.0,0.0529595015576324,1.2014958736909784e-08,1.2014958736909784e-08,1.2014958736909784e-08,1.2014958736909784e-08,0.0833333333333333,149608046.94011784,0.0169117647058823
pegasus,0.0962025316455696,1.0,0.050531914893617,0.0916030534351145,1.0,0.048,0.0962025316455696,1.0,0.050531914893617,1.7220023341565433e-08,1.7220023341565433e-08,1.7220023341565433e-08,1.7220023341565433e-08,0.0863636363636363,220305618.6065715,0.0096611391492429
pegasus,0.3181818181818182,1.0,0.1891891891891892,0.3076923076923077,1.0,0.1818181818181818,0.3181818181818182,1.0,0.1891891891891892,0.0132458090582367,0.0132458090582367,0.0132458090582367,0.0132458090582367,0.2368421052631578,148.4131591025766,0.0172335600907029
pegasus,0.1065830721003135,1.0,0.0562913907284768,0.1009463722397476,1.0,0.0531561461794019,0.1065830721003135,1.0,0.0562913907284768,1.1253517471925913e-07,1.1253517471925913e-07,1.1253517471925913e-07,1.1253517471925913e-07,0.087431693989071,34378474.19966321,0.0219341974077766
pegasus,0.2786885245901639,1.0,0.1619047619047619,0.2666666666666667,1.0,0.1538461538461538,0.2786885245901639,1.0,0.1619047619047619,0.0068783158702764,0.0068783158702764,0.0068783158702764,0.0068783158702764,0.2073170731707317,380.38217484207433,0.017472335468841
pegasus,0.1038251366120218,1.0,0.0547550432276657,0.0989010989010989,1.0,0.0520231213872832,0.1038251366120218,1.0,0.0547550432276657,6.70892926108799e-08,6.70892926108799e-08,6.70892926108799e-08,6.70892926108799e-08,0.072072072072072,72948418.82308975,0.0133108935128518
pegasus,0.0982800982800982,1.0,0.0516795865633074,0.0938271604938271,1.0,0.0492227979274611,0.0982800982800982,1.0,0.0516795865633074,5.3602898458330465e-09,5.3602898458330465e-09,5.3602898458330465e-09,5.3602898458330465e-09,0.0798319327731092,178482300.96318725,0.0151315789473684
pegasus,0.2391304347826087,1.0,0.1358024691358024,0.2307692307692307,1.0,0.1304347826086956,0.2391304347826087,1.0,0.1358024691358024,0.0023994389850005,0.0023994389850005,0.0023994389850005,0.0023994389850005,0.1707317073170731,1256.8497066967818,0.0098436595251881
pegasus,0.1818181818181818,1.0,0.1,0.173469387755102,1.0,0.0949720670391061,0.1818181818181818,1.0,0.1,0.0001132724832496,0.0001132724832496,0.0001132724832496,0.0001132724832496,0.1487603305785124,18645.000759232116,0.0153797865662272
pegasus,0.0961098398169336,1.0,0.0504807692307692,0.0919540229885057,1.0,0.0481927710843373,0.0961098398169336,1.0,0.0504807692307692,2.332725515509047e-08,2.332725515509047e-08,2.332725515509047e-08,2.332725515509047e-08,0.0806451612903225,316055557.64462465,0.0148302630054454
pegasus,0.0248138957816377,1.0,0.0125628140703517,0.0223880597014925,1.0,0.0113207547169811,0.0248138957816377,1.0,0.0125628140703517,6.054601895401186e-39,6.054601895401186e-39,6.054601895401186e-39,6.054601895401186e-39,0.0218446601941747,1.844312977454916e+34,0.0045627376425855
